VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,2015-01-01 18:00:21,2015-01-01 18:03:08,1,0.7,-73.95509338378906,40.77330780029297,1,N,-73.96279907226562,40.7664794921875,1,4.5,0.0,0.5,1.05,0.0,6.35
2,2015-01-01 18:00:21,2015-01-01 18:14:59,2,3.13,-73.95806884765625,40.77629852294922,1,N,-73.99112701416014,40.751914978027344,1,12.5,1.0,0.5,2.5,0.0,16.8
2,2015-01-01 18:00:21,2015-01-01 18:06:08,1,0.93,-73.99408721923827,40.75132369995117,1,N,-73.98588562011719,40.762451171875,1,6.0,0.0,0.5,1.5,0.0,8.3
1,2015-01-01 18:00:21,2015-01-01 18:02:40,1,0.3,-74.00235748291014,40.719051361083984,1,N,-74.00538635253906,40.72160720825195,2,3.5,0.0,0.5,0.0,0.0,4.3
2,2015-01-01 18:00:21,2015-01-01 18:05:19,6,0.93,-74.001708984375,40.73046875,1,N,-73.9905776977539,40.733978271484375,2,5.5,0.0,0.5,0.0,0.0,6.3
2,2015-01-01 18:00:22,2015-01-01 18:33:30,1,6.8,-73.98955535888672,40.72985076904297,1,N,-73.9452133178711,40.6581916809082,1,27.0,0.0,0.5,1.0,0.0,28.8
1,2015-01-01 18:00:22,2015-01-01 18:16:27,2,3.3,-73.96804809570312,40.762691497802734,1,N,-74.0074691772461,40.74087905883789,2,14.0,0.0,0.5,0.0,0.0,14.8
1,2015-01-01 18:00:22,2015-01-01 18:15:31,1,4.9,-73.99118041992188,40.74486541748047,1,N,-73.94256591796875,40.786148071289055,2,17.0,0.0,0.5,0.0,0.0,17.8
1,2015-01-01 18:00:22,2015-01-01 18:06:38,1,1.8,-73.97530364990234,40.756919860839844,1,N,-73.95889282226562,40.7807846069336,1,7.5,0.0,0.5,0.0,0.0,8.3
2,2015-01-01 18:00:22,2015-01-01 18:15:15,1,1.78,-73.97529602050781,40.78218460083008,1,N,-73.9835205078125,40.76100540161133,1,11.5,1.0,0.5,2.5,0.0,15.8
2,2015-01-01 18:00:22,2015-01-01 18:28:24,4,11.39,-73.86270904541014,40.76901626586913,1,N,-73.98103332519531,40.76177215576172,1,35.5,0.0,0.5,12.25,5.33,53.88
1,2015-01-01 18:00:22,2015-01-01 18:16:20,1,3.2,-74.0064926147461,40.71400451660156,1,N,-73.98509216308595,40.7469482421875,2,13.0,0.0,0.5,0.0,0.0,13.8
1,2015-01-01 18:00:22,2015-01-01 18:12:38,2,4.1,-73.99028778076173,40.75636672973633,1,N,-74.01611328125,40.71497344970703,2,14.0,0.0,0.5,0.0,0.0,14.8
2,2015-01-01 18:00:22,2015-01-01 18:02:11,1,0.54,-73.992431640625,40.73772811889648,1,N,-73.99851989746094,40.73398971557617,2,3.5,0.0,0.5,0.0,0.0,4.3
2,2015-01-01 18:00:22,2015-01-01 18:04:46,6,1.21,-73.98915100097656,40.74803161621094,1,N,-73.98854064941406,40.73876190185547,1,5.5,0.0,0.5,1.1,0.0,7.4
1,2015-01-01 18:00:22,2015-01-01 18:07:14,4,1.0,-73.99123382568358,40.75006866455078,1,N,-73.97845458984375,40.75323867797852,2,6.5,0.0,0.5,0.0,0.0,7.3
1,2015-01-01 18:00:23,2015-01-01 18:04:15,1,0.6,-73.99334716796875,40.74177932739258,1,N,-73.98279571533203,40.73907470703125,2,4.5,0.0,0.5,0.0,0.0,5.3
2,2015-01-01 18:00:24,2015-01-01 18:07:26,1,0.67,-73.98462677001955,40.75423049926758,1,N,-73.99305725097656,40.7563705444336,2,6.0,0.0,0.5,0.0,0.0,6.8
2,2015-01-01 18:00:24,2015-01-01 18:05:51,2,1.62,-73.95230102539062,40.691272735595696,1,N,-73.9824676513672,40.69001770019531,1,6.5,0.0,0.5,1.0,0.0,8.3
2,2015-01-01 18:00:24,2015-01-01 18:13:22,1,2.14,-74.00511932373048,40.74125671386719,1,N,-73.9812774658203,40.74714660644531,1,10.5,0.0,0.5,2.1,0.0,13.4
1,2015-01-01 18:00:26,2015-01-01 18:06:16,4,1.0,-73.96273040771484,40.778541564941406,1,N,-73.9573745727539,40.76868438720703,1,6.0,0.0,0.5,1.35,0.0,8.15
1,2015-01-01 18:00:26,2015-01-01 18:09:05,1,2.0,-73.98312377929686,40.72270202636719,1,N,-73.9959716796875,40.742408752441406,1,8.2,0.0,0.5,2.25,0.0,11.25
1,2015-01-01 18:00:26,2015-01-01 18:18:30,4,1.2,-73.95677947998048,40.77057266235352,1,N,-73.95677947998048,40.77057266235352,2,11.5,0.0,0.5,0.0,0.0,12.3
2,2015-01-01 18:00:26,2015-01-01 18:52:42,1,20.55,-73.98155975341797,40.783145904541016,1,N,-73.70683288574219,40.73775863647461,2,60.0,0.0,0.5,0.0,0.0,60.8
1,2015-01-01 18:00:27,2015-01-01 18:05:44,1,1.6,-73.95050048828125,40.794898986816406,1,N,-73.95990753173827,40.79887771606445,2,7.0,0.0,0.5,0.0,0.0,7.8
1,2015-01-01 18:00:27,2015-01-01 18:18:03,2,4.3,-73.95429229736328,40.76403045654297,1,N,-74.00298309326173,40.73310470581055,1,16.0,0.0,0.5,2.0,0.0,18.8
